0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Target
1.182864,0.21213698,0.83507234,0.0,0.0,0.0,0.8220016,0.0,1.1744182,0.74517876,0.15882541,0.0,0.21436195,1.3590431,1.3361096,0.0,0.0,1.1932421,1.0928632,1.1927903,0.9663781,0.0,1.9579581,1.8678465,0.0,1.6259735,0.0,1.0376527,0.0,0.0,0.0,0.9587751,0
1.8118744,0.404462,0.086379856,0.0,0.0,0.0,1.9512451,0.0,1.360225,0.9693657,0.0,0.0,0.87589586,0.4594351,0.39171368,0.0,0.0,2.1530426,0.0,1.8226397,1.2801586,0.0,1.2707989,0.87399274,0.0,0.7079029,0.0,2.0127487,0.06214452,0.0,0.0,0.011054445,0
0.0,0.0,0.40082175,0.6766454,1.3376875,0.0,0.0,0.9100126,0.7549973,1.2341298,0.0,0.68290466,0.0,0.0,1.5386963,0.742089,0.0,1.6614046,0.0,0.010493338,0.0,0.0,0.098750785,0.6663667,0.9132155,0.0,0.25178012,0.0,0.44142714,0.0,0.083430335,1.3312784,0
0.0,0.0,0.0,2.3784802,1.5898399,0.29505676,0.0,1.2383265,0.0,0.0,0.0,1.4712019,0.0,0.0,0.0,3.310942,0.0,0.0,0.0,0.0,0.0,2.173341,0.0,0.0,0.84650195,0.0,0.15442736,0.0,0.30867603,1.9129043,2.6059215,0.0,1
0.0,0.0,0.0,2.889338,1.8075906,0.23758945,0.0,0.71065027,0.0,0.0,0.0,2.2163877,0.0,0.0,0.0,4.8591533,0.0,0.0,0.0,0.0,0.0,2.707699,0.0,0.0,0.76686525,0.0,0.030541848,0.0,0.57715213,2.604991,4.1393857,0.0,1
1.6810058,0.371013,0.112690434,0.0,0.0,0.0,1.5329179,0.0,1.3454435,1.0627772,0.0,0.0,0.79300094,0.35732564,0.74312156,0.0,0.0,1.9794531,0.0,1.7469082,1.2684718,0.0,1.4518901,1.019443,0.0,0.5582829,0.0,1.7566296,0.0,0.0,0.0,0.38536853,0
0.0,1.6430997,0.0,3.7079458,2.5504947,0.30925965,0.0,0.32086152,0.0,0.0,0.0,3.1952255,0.0,0.0,0.0,6.5654063,0.24153978,0.0,0.0,0.0,0.0,3.6414123,0.0,0.0,0.432701,0.0,0.0,0.0,1.015273,4.479457,6.4371824,0.0,1
0.5613507,0.0,0.5389108,0.0,0.0,0.0,0.15196396,0.4072945,1.2109554,0.74596953,0.0,0.0,0.0,0.32448995,1.4740909,0.03493359,0.0,2.0866206,0.5070241,1.1887531,0.0,0.06439043,1.2144508,1.6147699,0.0,0.63479644,0.38273937,0.5814799,0.0,0.0,0.0,1.5449218,0
1.2911325,0.15740418,0.55327356,0.0,0.0,0.0,0.72434825,0.0,1.0559704,0.8175017,0.06582001,0.0,0.28626722,0.70945954,1.1474204,0.0,0.0,1.7075361,0.66217035,1.524302,0.85728085,0.19773617,1.8648727,1.7333342,0.0,0.75460523,0.051493805,1.1447694,0.0,0.0,0.0,1.2486802,0
0.0,1.1497629,0.0,4.5988536,3.2756948,1.1192278,0.0,0.703476,0.0,0.0,0.0,3.8934915,0.0,0.0,0.0,7.550276,0.20316356,0.0,0.0,0.0,0.0,4.8613563,0.0,0.0,0.88973475,0.0,0.0,0.0,1.0624756,5.2106667,7.208557,0.0,1
