Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type,Target
1,-1.4523497796593405,-1.0147607733229451,-0.13262352565645041,0.21197810324484165,-0.42341856854871657,1,0
0,-0.35243703985130526,-0.677756345295187,1.3790194878275945,-1.653911527747706,-0.12491562608180934,1,0
0,0.3475074309356185,0.4680587099991834,-1.1478228926457352,2.107962728285656,1.0848068249682883,1,0
0,-1.2213435799440626,-1.2346257683571,-0.7730202957365119,1.264819406712374,1.659382481072323,2,1
0,1.2822900396976549,0.9562324343544352,-0.6276668702607863,2.1060739716842503,1.018598995803285,3,1
0,-1.0523815106382575,-1.4865669725617991,0.7040792493347183,-0.6106184007411204,-0.09349426371687174,1,0
0,1.2672517611176575,0.3764920203599439,-0.5541821714379346,0.1800783860016693,1.60889218609925,5,1
2,0.3475074309356185,-0.27335103166186175,-0.7573615976498564,1.1348912540583593,1.037674781420882,1,0
0,0.44749949819088924,0.5354595956047504,-0.2720739881549785,-0.1892884840653836,0.2678514034799107,1,0
0,1.572796417238847,0.9307212062088825,-0.20805602692824915,0.4848138255159602,1.9227696327678383,5,1
0,1.541314397405678,0.8724640236325086,-1.1113592288158447,1.309349863394592,0.9564328275951377,0,1
1,1.0474519017225707,1.0072657948436043,1.8252609678228844,-1.6940381864787284,0.8020145636838499,1,0
0,-0.40243307347895485,-0.7451572309007539,-0.07126532215709803,-0.20935181343089515,1.0848068249682883,1,0
0,0.2475153636803477,1.0746666804491714,-0.16609163665609716,0.723593002065379,1.4775738545300083,1,0
0,0.3475074309356185,-0.1385492604507661,-1.1645569481455584,1.445872859223784,0.9905427378734756,1,0
1,1.6679376981301037,1.6919336616324432,6.512205275143095,-3.029094111515277,-0.7581141454181711,3,1
1,0.8599950626550633,0.10290702221766956,-0.8981970968856483,2.3244700314026727,0.17497061379416823,3,1
0,-0.9523894433829583,-0.07114837484523745,0.5757848238360724,-0.9617266646375675,-0.784764235745499,1,0
0,1.0150416205752806,0.3205212564473679,-0.9535002836616525,1.2590913514159092,0.716245197615849,0,1
1,0.3475074309356185,0.8724640236325086,-1.0641526151466183,1.3054295536652054,-1.1461099029422814,1,0
0,1.9473805070200358,2.018279078926879,-0.7294715051501508,0.7536879961136456,-0.5019719744610606,1,0
0,0.0475312291698062,-0.4081528028729957,3.359216055306694,-2.2156847499820214,-1.177531265307219,1,0
1,-1.3523577124040698,-1.149562544534041,0.8825758413328343,-1.2626766051202365,0.2050086787500355,1,0
1,-1.2023696115211493,-0.9473598877173782,-0.8354538566490322,0.9041629663549801,-1.1618205841247502,1,0
1,0.7474756999567299,0.33325693878808776,0.3415080468385452,-0.7209667122514325,1.5247058980774149,1,0
1,-0.15245290534076375,-0.7451572309007539,-0.339010210154272,0.10162979173452956,-0.32915448145390375,1,0
0,0.39750346456326807,0.9398649092380373,-1.2426492071447344,1.7668861290719644,-1.020424453482531,1,0
1,1.4974162043713033,1.8834773077157834,0.6092529348357192,-0.7911883650307214,-0.062072901351934134,1,0
2,0.8474677672120007,0.670261366815846,2.661963742814053,-2.075241444423442,1.1319388685156948,1,0
1,1.7473963725094943,2.018279078926879,-0.2609179511550963,0.6132446905550669,-0.29773311908896616,1,0
0,1.6734752188871895,1.1743216102028806,-1.306401455879895,1.648550793300029,-0.9624027594636941,0,1
0,-0.4340966175064073,0.11308235881555867,-0.7486283563369764,0.8877780365568974,1.9536092212348914,2,1
0,-0.6024172079894964,-0.20595014605633308,-0.05453126665727467,0.4025797322171985,0.44066889648706753,1,0
2,-1.0023854770106078,-0.8799590021118496,-0.1995597476557439,-0.3698584483549854,-1.6174303384163455,1,0
1,-0.7524053088724167,-1.3517652013507035,0.9718241373318923,-1.4231832400443263,0.723461157771506,1,0
1,-0.452429107106576,0.2658560531825208,-0.651379246150975,0.9342579604032467,-0.6119467427383422,1,0
0,1.6974003388818448,1.2768693372657955,-0.04337522965739242,-0.20935181343089515,1.4932845357124773,1,0
0,0.19751933005269812,-0.3407519172674287,0.023560992341901083,-0.10903516660333884,-1.114688540577344,1,0
0,0.49749553181853884,1.2768693372657955,1.9535553933215304,-1.653911527747706,1.4147311298001333,1,0
1,-1.252365645148799,-1.0147607733229451,0.6873451938348949,-0.9717583293203229,-1.2875060335845006,1,0
0,1.0303585001922095,0.7359310298838613,-0.9078248231948896,1.3836807189853437,1.6208949657584053,2,1
0,-0.7456607034968274,-1.216963430139608,-1.3129627806768782,2.6305061831948264,-1.0424933797337974,3,1
2,-1.252365645148799,-0.9473598877173782,-0.32227615465444864,-0.1190668312860946,-1.4760342077741262,1,0
1,1.4974162043713033,1.7486755365046878,-0.8187198011492087,0.2922314207068864,-0.21917971317662216,1,0
1,-0.10245687171311416,0.737662252421413,1.2507250623289485,-1.4532782340925934,0.9905427378734756,1,0
0,0.9757565409482687,0.2658560531825208,-0.9679518853596422,1.672040249034558,0.12350759569512251,0,1
0,-0.9523894433829583,-1.4191660869562706,-0.6346451906511517,1.8270761171684984,-0.8004749169279678,1,0
0,1.3974241371160325,1.6138737652935538,-0.05453126665727467,-0.31970012494120725,2.0274476959164165,1,0
0,-0.5547752258233762,-0.09467318831885964,-0.9616929878293795,1.4922524740970085,1.522181361327534,2,1
0,-0.4794637729318386,-0.4073079854124555,0.8858018262417224,-1.1929579086689501,0.9897550533995769,1,1
0,-0.9023934097553371,-1.0821616589285121,-0.4840386911527413,0.3524214088034203,0.7863038825013812,1,0
0,-0.9523894433829583,-1.2843643157451365,1.4069095803273,-1.272708269802992,-0.706210829833155,1,0
1,1.8408034854135098,1.415288937396195,6.268002999379963,-2.8677429543611375,-0.6736414736077234,3,1
0,-0.9023934097553371,-0.677756345295187,0.5813628423360135,-0.5905550713756088,-0.26631175672402857,1,0
2,0.9474598344672714,0.19845516757699214,0.6371430273354248,-0.7610933709824549,-0.12491562608180934,1,0
1,-1.0523815106382575,-1.0147607733229451,-0.5007727466525647,0.08156646236901802,0.7705932013189124,1,0
1,0.8474677672120007,0.5354595956047504,-0.08242135915698029,0.13172478578279617,0.6134863894942243,1,0
1,0.7159396808184529,0.4680587099991834,-1.0184984668118793,2.4491934340999353,-0.784279111027608,3,1
1,-1.252365645148799,-1.216963430139608,0.9718241373318923,-0.7811567003479657,-1.42890216422672,1,0
0,-1.0023854770106078,-1.162786268666936,-1.0013816754541787,1.7259960826312448,1.6543703676721402,2,1
0,0.7474756999567299,0.737662252421413,-0.6290671721512106,1.2151445715204048,0.2050086787500355,1,0
0,0.19751933005269812,0.13105428197142516,-0.05453126665727467,-0.37989011303774045,-1.5388769325040015,1,0
0,1.5993313664868563,0.9450500524296704,-1.0573587668777884,1.119201089304236,-1.550357439884886,0,1
1,0.5474915654461884,0.4680587099991834,6.120335212777551,-2.7874896368990925,-0.12491562608180934,3,1
0,1.3974241371160325,0.40065782439365477,-0.7517835791499152,0.3223264147551537,1.4932845357124773,1,0
0,-0.5524211743618752,-0.677756345295187,-0.7183154681502685,2.5794509683751707,1.3047563615228517,3,1
